Transaction_ID|Year|Units_Sold_Quantity|Unit_Price|Unit_Cost
Jan_228914|2015|9|2.1|1.6
Jan_228914|2015|21|3.98|1.6
Jan_228914|2018|21|3.11|1.94
Jan_778102|2016|18|3.78|1.76
Jan_778102|2017|30|4.01|1.86
Jan_778102|2018|27|3.7|1.94
Jan_778102|2014|12|2.13|2
Jul_228914|2017|21|4.01|1.86
Jul_228914|2016|24|3.13|1.76
Jul_449976|2015|24|3.59|1.6
Jul_449976|2015|18|2.13|1.6
Jul_449976|2015|9|2.63|1.6
Jul_449976|2016|24|2.3|1.76
Jul_449976|2015|9|4.09|1.6
Jul_667746|2015|9|4.57|1.6
Jul_667746|2015|15|2.53|1.6
Jul_667746|2016|27|3.7|1.76
Jul_667746|2018|9|2.76|1.94
Jul_778102|2018|27|4.03|1.94
Jul_778102|2014|6|2.9|1.86
July_778102|2016|9|4.04|1.76
Jul_778102|2017|15|4.35|1.76
Jul_778102|2014|9|2.44|1.9
Jul_904587|2016|6|3.27|1.76
Jul_904587|2016|6|3.75|1.76
Jun_228914|2016|21|2.9|1.76
Jun_228914|2017|30|3.94|1.76
Jun_229150|2018|24|3.13|1.94
Jun_449976|2015|24|3.54|1.6
Jun_667841|2014|18|3.3|1.6
Jun_667841|2017|21|4.52|1.86
Jun_667841|2015|9|3.7|1.6
Jun_667841|2014|18|2.04|1.48
Jun_778102|2017|15|4.02|1.82
Jun_778102|2014|27|2.54|1.84
Jun_778102|2016|21|3.93|1.76
Jun_778102|2018|9|3.79|1.94
Jun_908777|2018|15|4.33|1.94
Jun_908777|2017|18|3.42|1.86
Jun_908777|2016|9|2.63|1.76
Mar_229150|2015|12|3.01|1.6
Mar_448859|2017|9|2.1|1.86
Mar_448859|2018|15|3.47|1.94
Mar_667841|2017|9|4.4|1.86
Mar_667841|2018|15|2.68|1.94
Mar_667841|2017|30|3.68|1.56
Mar_667841|2014|12|3.01|1.6
Mar_778102|2017|24|4.02|1.56
Mar_778102|2014|24|2.3|1.94
Mar_778102|2018|15|3.73|1.94
Mar_778102|2016|24|3.93|1.76
Mar_904587|2015|6|3.3|1.6
Mar_904587|2017|15|2.55|1.86
Mar_909881|2017|6|3.75|1.82
Mar_909881|2016|6|3.27|1.76
Mar_909881|2018|24|4.17|1.94
Mar_909881|2016|24|2.54|1.76
Mar_909881|2015|21|2.72|1.6
May_448859|2017|9|3.46|1.86
May_449976|2017|24|2.16|1.86
May_449976|2016|24|3.54|1.76
May_667746|2018|15|4.52|1.94
May_667746|2016|27|3.7|1.76
May_667841|2016|6|4.35|1.76
May_667841|2014|6|3.35|1.6
May_667841|2015|27|3.68|1.6
May_667841|2017|3|2.65|1.86
May_778102|2014|21|3.54|2.22
May_778102|2014|45|2.88|1.94
May_778102|2016|27|4.03|1.76
May_778102|2018|21|3.98|1.94
May_778102|2017|15|4.33|1.66
May_908777|2018|30|2.64|1.94
May_908777|2017|21|3.44|1.86
nov_228807|2018|21|2.9|1.94
Nov_228914|2017|12|3.95|1.68
Nov_228914|2017|6|2.99|1.86
Nobember_448859|2015|27|3.49|1.6
Nov_667841|2014|9|3.3|1.6
Nov_667841|2016|9|3.69|1.76
Nov_667841|2017|12|4.4|1.86
Nov_667841|2017|30|2.69|1.86
Nov_778102|2014|33|2.68|1.94
Nov_778102|2018|30|3.94|1.94
nov_778102|2014|12|3.49|1.66
Nov_778102|2016|24|4.02|1.76
Nov_778102|2017|30|4.33|1.72
November_909881|2018|15|4.33|1.94
Nov_909881|2014|24|3.35|1.6
Nov_909881|2015|30|3.35|1.6
Nov_909881|2018|6|2.58|1.94
Oct_228807|2017|6|2.88|1.86
Oct_448859|2018|15|3.47|1.94
Oct_449976|2015|24|2.16|1.6
Oct_449976|2017|12|2.42|1.86
Oct_449976|2015|39|4.13|1.6
Oct_449976|2015|15|3.64|1.6
Oct_667746|2016|15|3.73|1.76
Oct_667746|2015|15|2.88|1.6
Oct_667841|2016|30|2.68|1.76
Oct_667841|2015|12|3.68|1.6
Octover_667841|2014|9|3|1.54
Oct_778102|2017|6|4.35|1.74
Oct_778102|2014|18|3.23|1.9
Oct_778102|2014|15|3|1.86
Oct_778102|2018|30|4.13|1.94
Oct_778102|2016|30|4.15|1.76
Oct_908777|2017|30|2.64|1.86
Oct_908777|2017|21|3.44|1.86
Sep_448859|2017|9|3.46|1.86
Sep_448859|2016|12|2.06|1.76
Sep_448859|2015|24|2.54|1.6
Sept_667841|2017|27|3.68|1.56
Sep_667841|2017|6|2.65|1.86
Sep_908777|2015|18|3.42|1.6
September_908777|2015|12|2.06|1.6
Sep_908777|2015|12|3.89|1.6
